team,team_code,association,fifa_rank,fifa_elo
Equatorial Guinea,EQG,CAF,105,1195.197081
Kyrgyzstan,KGZ,AFC,106,1191.655395
Armenia,ARM,UEFA,107,1191.334973
Comoros,COM,CAF,108,1187.9109
Kenya,KEN,CAF,109,1185.076631
Kazakhstan,KAZ,UEFA,110,1183.038315
Libya,LBY,CAF,111,1182.081264
Niger,NIG,CAF,112,1180.416678
Tanzania,TAN,CAF,113,1180.267847
Lebanon,LBN,AFC,114,1172.215162
Mauritania,MTN,CAF,115,1171.596379
Gambia,GAM,CAF,116,1159.637808
Sudan,SDN,CAF,117,1157.223901
Sierra Leone,SLE,CAF,118,1153.309176
Indonesia,IDN,AFC,119,1151.448115
North Korea,PRK,AFC,120,1151.052136
Namibia,NAM,CAF,121,1148.839695
Togo,TOG,CAF,122,1146.703618
Cyprus,CYP,UEFA,123,1133.247165
Suriname,SUR,CONCACAF,124,1132.425895
Faroe Islands,FRO,UEFA,125,1131.984479
Azerbaijan,AZE,UEFA,126,1130.263211
Rwanda,RWA,CAF,127,1126.622275
Estonia,EST,UEFA,128,1126.256951
Malawi,MWI,CAF,129,1122.488082
Zimbabwe,ZIM,CAF,130,1119.77695
Nicaragua,NCA,CONCACAF,131,1114.634184
Guinea-Bissau,GNB,CAF,132,1108.381553
Kuwait,KUW,AFC,133,1106.474587
Congo,CGO,CAF,134,1105.964661
Philippines,PHI,AFC,135,1096.72639
Latvia,LVA,UEFA,136,1090.261315
Malaysia,MAS,AFC,137,1086.218087
Central African Republic,CTA,CAF,138,1084.180103
India,IND,AFC,139,1083.601894
Turkmenistan,TKM,AFC,140,1078.652346
Burundi,BDI,CAF,141,1078.009468
Ethiopia,ETH,CAF,142,1077.086308
Dominican Republic,DOM,CONCACAF,143,1076.498501
Liberia,LBR,CAF,144,1074.686684
Yemen,YEM,AFC,145,1065.236881
Lesotho,LES,CAF,146,1064.285838
Botswana,BOT,CAF,147,1063.631368
Lithuania,LTU,UEFA,148,1061.22966
Singapore,SGP,AFC,149,1057.950212
Guyana,GUY,CONCACAF,150,1049.320241
New Caledonia,NCL,OFC,151,1036.952253
Saint Kitts and Nevis,SKN,CONCACAF,152,1036.334924
Solomon Islands,SOL,OFC,153,1031.894156
Hong Kong,HKG,AFC,154,1030.240953
Fiji,FIJ,OFC,155,1024.384218
Puerto Rico,PUR,CONCACAF,156,1024.297312
Tahiti,TAH,OFC,157,1019.036032
Myanmar,MYA,AFC,158,1015.138408
Moldova,MDA,UEFA,159,1006.537824
Vanuatu,VAN,OFC,160,1002.318941
Malta,MLT,UEFA,161,992.793497
Antigua and Barbuda,ATG,CONCACAF,162,986.584414
Grenada,GRN,CONCACAF,163,981.823973
Cuba,CUB,CONCACAF,164,981.423455
Eswatini,SWZ,CAF,165,979.013939
Saint Lucia,LCA,CONCACAF,166,976.708996
Bermuda,BER,CONCACAF,167,975.053746
Papua New Guinea,PNG,OFC,168,974.9011
Afghanistan,AFG,AFC,169,971.202635
South Sudan,SSD,CAF,170,970.944527
Saint Vincent and the Grenadines,VIN,CONCACAF,171,968.269638
Andorra,AND,UEFA,172,946.429826
Maldives,MDV,AFC,173,943.917901
Taiwan,TPE,AFC,174,923.782643
Montserrat,MSR,CONCACAF,175,916.75251
Cambodia,CAM,AFC,176,916.241304
Nepal,NEP,AFC,177,914.541224
Mauritius,MRI,CAF,178,911.487501
Barbados,BRB,CONCACAF,179,909.893208
Belize,BLZ,CONCACAF,180,907.001211
Bangladesh,BAN,AFC,181,902.92965
Dominica,DMA,CONCACAF,182,897.686437
Chad,CHA,CAF,183,896.852819
Eritrea,ERI,CAF,184,887.063341
Laos,LAO,AFC,185,885.028891
Cook Islands,COK,OFC,186,877.534995
Samoa,SAM,OFC,187,876.407812
Bhutan,BHU,AFC,188,875.845061
Aruba,ARU,CONCACAF,189,875.61115
Mongolia,MNG,AFC,190,874.469074
Sri Lanka,SRI,AFC,191,871.820215
American Samoa,ASA,OFC,192,871.612081
Brunei,BRU,AFC,193,863.09176
Macau,MAC,AFC,194,858.03342
São Tomé and Príncipe,STP,CAF,195,855.438666
Djibouti,DJI,CAF,196,853.581786
Cayman Islands,CAY,CONCACAF,197,850.061011
Somalia,SOM,CAF,198,839.169697
Pakistan,PAK,AFC,199,837.151593
Tonga,TGA,OFC,200,835.64241
Timor-Leste,TLS,AFC,201,825.639984
Gibraltar,GIB,UEFA,202,820.260818
Guam,GUM,AFC,203,819.540575
Seychelles,SEY,CAF,204,804.161509
Turks and Caicos Islands,TCA,CONCACAF,205,803.980015
Liechtenstein,LIE,UEFA,206,797.701009
Bahamas,BAH,CONCACAF,207,786.816217
United States Virgin Islands,VIR,CONCACAF,208,779.764266
British Virgin Islands,VGB,CONCACAF,209,777.405734
Anguilla,AIA,CONCACAF,210,760.251852
San Marino,SMR,UEFA,211,722.933728
