date,team,rating,change
2025-12-13,Papua New Guinea,1136.0,0
2025-12-13,Puerto Rico,1134.0,0
2025-12-13,South Sudan,1133.0,0
2025-12-13,Singapore,1131.0,0
2025-12-13,India,1123.0,0
2025-12-13,Grenada,1122.0,0
2025-12-13,Bermuda,1121.0,0
2025-12-13,Chad,1119.0,0
2025-12-13,Vanuatu,1114.0,0
2025-12-13,Fiji,1109.0,0
2025-12-13,Belize,1103.0,0
2025-12-13,Solomon Islands,1091.0,0
2025-12-13,Mauritius,1090.0,0
2025-12-13,Andorra,1083.0,0
2025-12-13,Sao Tome and Principe,1055.0,0
2025-12-13,Afghanistan,1033.0,0
2025-12-13,Gibraltar,1017.0,0
2025-12-13,Saint Lucia,1008.0,0
2025-12-13,Saint Kitts and Nevis,1005.0,0
2025-12-13,Saint Martin,1004.0,0
2025-12-13,Somaliland,1002.0,0
2025-12-13,Western Sahara,996.0,0
2025-12-13,Montserrat,971.0,0
2025-12-13,Somalia,961.0,0
2025-12-13,Sint Maarten,957.0,0
2025-12-13,Aruba,949.0,0
2025-12-13,Greenland,946.0,0
2025-12-13,Myanmar,944.0,0
2025-12-13,Dominica,940.0,0
2025-12-13,Bangladesh,940.0,0
2025-12-13,Barbados,921.0,0
2025-12-13,Nepal,917.0,0
2025-12-13,Djibouti,915.0,0
2025-12-13,Monaco,903.0,0
2025-12-13,Liechtenstein,900.0,0
2025-12-13,Antigua and Barbuda,895.0,0
2025-12-13,Taiwan,866.0,0
2025-12-13,Cambodia,846.0,0
2025-12-13,Seychelles,841.0,0
2025-12-13,Maldives,841.0,0
2025-12-13,San Marino,833.0,0
2025-12-13,Pakistan,828.0,0
2025-12-13,Bonaire,822.0,0
2025-12-13,Cayman Islands,806.0,0
2025-12-13,Chagos Islands,785.0,0
2025-12-13,Sri Lanka,780.0,0
2025-12-13,Tuvalu,757.0,0
2025-12-13,Sint Eustatius,737.0,0
2025-12-13,Mongolia,730.0,0
2025-12-13,Samoa,729.0,0
2025-12-13,Saint Barthelemy,725.0,0
2025-12-13,Bahamas,719.0,0
2025-12-13,Guam,714.0,0
2025-12-13,Laos,707.0,0
2025-12-13,Wallis and Futuna,701.0,0
2025-12-13,British Virgin Islands,693.0,0
2025-12-13,Vatican,692.0,0
2025-12-13,Saba,691.0,0
2025-12-13,East Timor,682.0,0
2025-12-13,Saint Pierre and Miquelon,677.0,0
2025-12-13,Turks and Caicos Islands,657.0,0
2025-12-13,Brunei,655.0,0
2025-12-13,Anguilla,646.0,0
2025-12-13,Tibet,628.0,0
2025-12-13,Cook Islands,622.0,0
2025-12-13,United States Virgin Islands,617.0,0
2025-12-13,Bhutan,614.0,0
2025-12-13,Macao,595.0,0
2025-12-13,Christmas Island,578.0,0
2025-12-13,Falkland Islands,571.0,0
2025-12-13,Federated States of Micronesia,563.0,0
2025-12-13,Marshall Islands,559.0,0
2025-12-13,Kiribati,544.0,0
2025-12-13,Tonga,520.0,0
2025-12-13,Niue,496.0,0
2025-12-13,Northern Mariana Islands,432.0,0
2025-12-13,Cocos Islands,422.0,0
2025-12-13,Palau,402.0,0
2025-12-13,Eastern Samoa,389.0,0
